视频名,up主,播放,弹幕,回复,收藏,硬币,分享,点赞
国产单机独立游戏《混沌落日》宣传视频,心流游戏,317476,759,2772,2714,5354,1724,19309
国产独立武侠游戏 代号《锦衣卫》 16分钟实机流程演示,离忧先生,2953922,31312,21384,62904,205727,38593,277516
国产独立游戏《隐世神剑传》宣传片 4月15日 Steam发售EA版,神经刀游戏工作室,1327085,1781,7052,19645,46819,10616,101102
国产单机独立游戏《混沌落日》实机视频,心流游戏,239324,1214,3117,1838,3662,1153,12534
《明末：渊虚之羽》首次曝光开发进度实机演示（4K 60FPS）诚招精神股东！,明末渊虚之羽,1222468,19310,14920,10346,15026,14470,46811
虚幻4国产独立游戏《觉醒者之崛起》10分钟实机演示,游侠网官方,40523,270,427,392,177,214,2107
高亮！《谢云流传》实机演示画面流出！,剑网3真好玩,200931,2407,2673,1381,1122,3106,5443
《神舞幻想·妄之生》最新12分钟实机演示来啦！,神舞幻想,940755,9527,9568,11110,35549,16508,54737
国产动作RPG《苍龙城》开发中演示视频,桜花喵喵_Official,694004,2497,1767,3475,923,1662,16370
国产独立游戏《琉隐》V8.0宣传片段_大漠剧情,kingna游戏工作室,331185,363,1806,3420,2665,1085,10438
【独立游戏《剑魄》月常】如何挽救一个不带脑袋的沙雕制作人/心得分享/新增内容演示,离忧先生,35804,153,153,237,782,72,2023
国产独立游戏《剑魄》第二章宣传片（加长完整版）,离忧先生,110607,233,531,714,1799,524,4314
国产独立ARPG《隐世神剑传》5分钟实机试玩 早期开发阶段，不代表最终品质。游戏已经在摩点开启众筹，欢迎大家支持转发。,神经刀游戏工作室,144585,460,666,650,1280,337,3507
游戏科学新作《黑神话：悟空》13分钟实机演示,黑神话之悟空,41907730,334838,300880,1277343,3243870,1334190,2926467
《隐世神剑传》早期开发阶段演示视频 不代表最终品质,神经刀游戏工作室,27870,71,292,225,716,116,1118
《失落之魂》18分钟实机流程演示,失落之魂官方账号,1193596,12919,16427,24799,54330,32754,73128
《Project DT》实机演示预告首发,数字天空Digisky,1174463,4232,8919,18635,19960,14698,55930
"全网首发，一人开发6年，国产独立游戏迷离诡夜新预告片，主要由B站网友们配音,steam发布日期延后到3月。",QSN-818,518945,294,2417,6793,10064,858,29522
《永劫无间》| 崔三娘实机演示，张雨绮破浪而来,永劫无间官方,1585250,2188,2444,4053,1269,4099,23760
《黑神话：悟空》- 实机效果演示,NVIDIA英伟达官方账号,2149449,1852,4859,7340,9161,8106,97990
